ra,dec,mag,ci,proper,hip,spect,gl
0.5072,-48.2149,5.67,0.367,,2383,F2V,
0.5077,-40.9396,6.18,0.315,,2388,F2III,
0.5081,-39.5185,6.6,1.141,,2392,K1III,
0.5131,16.0376,6.83,0.126,,2415,A0,
0.5151,77.0194,6.18,0.883,,2422,K0IV,
0.5166,-10.0847,6.86,0.2,,2431,A3,
0.5178,55.7026,6.57,1.154,,2440,G5,
0.5203,43.9465,6.76,-0.064,,2455,B8,
0.5236,-48.8035,4.76,0.018,,2472,A0V,
0.5237,66.5196,6.18,-0.1,,2474,B6V,
0.5238,33.5816,5.88,1.133,,2475,K1III...,
0.5251,11.5322,7.18,0.275,,2479,A5,
0.5252,20.8295,7.17,1.352,,2480,K4III,
0.5257,-62.9582,4.36,-0.064,,2484,B9V,
0.5259,-62.9656,4.53,0.147,,2487,A2V,
0.5267,16.0209,6.89,1.267,,2490,K0,
0.527,9.1612,6.99,1.405,,2491,K2,
0.528,-1.7937,7.07,0.071,,2496,A0,
0.5281,52.8395,5.59,1.163,,2497,K2III,
0.5282,12.9135,7.25,0.906,,2498,K0,
0.5295,54.5223,4.74,-0.098,,2505,B8Vn,
0.5309,18.1053,7.22,0.535,,2512,F5,
0.5319,19.643,6.87,1.638,,2517,K5III,
0.5346,-18.222,7.07,1.245,,2527,K1/K2III,
0.5365,53.8151,6.94,1.522,,2537,K2,
0.5372,34.9939,6.74,0.191,,2539,A5IV,
0.5394,58.3386,7.1,0.377,,2543,F2,
0.5399,6.9555,5.69,-0.014,,2548,B9.5V,
0.5408,43.4948,6.69,-0.006,,2553,A1Vn,
0.5417,51.7283,6.94,1.101,,2557,K0,
0.5422,18.7949,6.79,1.54,,2560,K5,
0.5429,27.5808,6.68,0.084,,2565,A2IV,
0.5432,20.2943,5.38,1.069,,2568,K0III,
0.5443,-25.3597,6.72,1.176,,2572,K0/K1III,
0.5443,23.1934,6.84,0.921,,2573,G8III-IV,
0.5453,38.8438,6.9,0.364,,2576,F0,
0.5455,-63.0315,5.07,0.038,,2578,A0V,GJ 9015A
0.5465,54.1199,6.91,1.249,,2581,K2III,
0.547,28.2802,6.26,0.965,,2583,G8II,
0.5488,16.1672,6.9,0.508,,2595,F6III,
0.55,62.9318,4.17,0.13,,2599,B1Ia,
0.5529,54.895,5.93,1.037,,2611,K0III,
0.5553,70.9818,6.41,-0.007,,2628,A0Vn,
0.5565,-71.2662,6.11,0.265,,2629,A7IV,
0.5581,-0.6088,7.18,0.338,,2641,A3,
0.5583,-55.3283,7.21,0,,2642,A1V,
0.5614,-29.5583,5.55,1.262,,2661,K1III,
0.5622,-35.0021,6.41,0.617,,2663,F8/G0V,
0.5697,10.2992,6.76,0.949,,2695,G5,
0.5721,-42.4312,6.88,0.18,,2701,A5IV,
0.5736,66.7504,6.47,-0.049,,2707,B9III,
0.5737,-45.4258,6.8,1.293,,2708,K3III,
0.5742,-6.5039,6.9,0.481,,2710,F2,
0.5744,-52.3731,5.57,0.472,,2711,F3IV-V,Gl 22.2
0.5749,-4.5465,7.02,0.732,,2713,G0,
0.582,13.3711,6.39,1.136,,2734,K0,
0.586,36.8322,6.58,1.445,,2753,G8III-IV...,
0.5875,-3.5928,5.2,0.567,,2762,F8V...,Gl 23A
0.5914,54.2035,6.95,0.097,,2782,A2,
0.5925,-0.5056,5.94,0.444,,2787,F5IV,
0.5926,-54.8219,6.04,1.001,,2789,K0IV,
0.5937,67.926,6.92,2.04,,2796,K2Ib-II,
0.5948,-48.0009,5.51,0.461,,2802,F6V,GJ 3041
